EPRO,EFLUX,AmeriFlux,Units,Notes,Extra_Cols
,,TIMESTAMP_START,PST,Units are the timezone the data are in,Precipitation_Tot
,,TIMESTAMP_END,PST,,PAR_density_Avg
co2_mole_fraction,CO2_molfrac_Avg,CO2,mmolCO2 mol-1,,Rn
co2_flux,co2_flux_Filtered,FC,umolCO2 m-2 s-1,,CO2_sig_strgth_Min
qc_co2_flux,qc_co2_flux,FC_SSITC_TEST,adimensional,,H2O_sig_strgth_Min
co2_strg,NaN,SC,mmolCO2 m-2 s-1,,
H,H_flux_Filtered,H,W m-2,,
qc_H,H_qc_grade,H_SSITC_TEST,adimensional,,
LE,LE_flux_Filtered,LE,W m-2,,
qc_LE,LE_qc_grade,LE_SSITC_TEST,adimensional,,
NaN,NaN,SG,W m-2,,
shf_plate_avg,NaN,G,W m-2,,
H_strg,H_strg,SH,W m-2,,
LE_strg,LE_strg,SLE,W m-2,,
air_temperature,Tair_Filtered,TA,deg C,,
sonic_temperature,Ts_Avg,T_SONIC,deg C,,
ts_var,Ts_Std,T_SONIC_SIGMA,deg C,,
RH,RH_Filtered,RH,%,,
VPD,VPD_Filtered,VPD,kPa,,
air_pressure,P_Filtered,PA,kPa,,
Rn_total_Avg,Rn_Filtered,NETRAD,W m-2,,
PAR_Filtered,PAR_Filtered,PPFD_IN,mmolPhoton m-2 s-1,,
Rain_Tot,Precip_Filtered,P,mm,,
NaN,Soil_wc_05cm_L2_L3,SWC,%,,
NaN,Soil_tmpr_05cm_L2_L3,TS,deg C,,
wind_dir,wnd_dir_compass,WD,Decimal degrees,,
wind_speed,rslt_wnd_spd,WS,m s-1,,
max_wind_speed,NaN,WS_MAX,m s-1,,
(z-d)/L,stability_zL,ZL,adimensional,,
L,L,MO_LENGTH,m,,
u*,u_star,USTAR,m s-1,,
,,TAU,kg m-1 s-2,,
,,TAU_SSITC_TEST,adimensional,,
u_var,Ux_Std,U_SIGMA,m s-1,,
v_var,Uy_Std,V_SIGMA,m s-1,,
w_var,Uz_Std,W_SIGMA,m s-1,,
x_70%,NaN,FETCH_70,m,,
x_90%,FP_90,FETCH_90,m,,
x_peak,FP_max,FETCH_MAX,m,,
SW_In_Filtered,,SW_IN,,,
SW_Out_Filtered,,SW_OUT,,,
LW_In_Filtered,,LW_IN,,,
LW_Out_Filtered,,LW_OUT,,,
